feature_rank,global_rank,domain,dataset,family,feature,plot_label,pre_mean,post_mean,standardized_slope_change_per_year,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_q
1,1,medarxiv_titles,medarxiv_titles,punctuation,colon_per_1k_words,colon,21.207822840697524,24.09418720365926,1.4637008334389168,0.9896009638423412,1.937800703035492,4.3142260057621905e-09
2,2,medarxiv_titles,medarxiv_titles,syntax,clause_depth,max tree depth,6.668206980602413,6.814444619125978,-1.4472090327142866,-1.776439337280151,-1.117978728148422,6.955211853163767e-17
3,3,arxiv_titles,arxiv_titles,verbs,verb_align_per_1k_words,`align`,0.1051938941960874,0.4575938839756339,1.2309863949825297,1.0055934194894194,1.4563793704756396,8.719792252286115e-26
4,4,medarxiv_titles,medarxiv_titles,marker_words,marker_words_total_per_1k_words,words,1.9804841451456343,3.0066657244118766,1.107866504417642,0.7735074987173821,1.4422255101179025,1.0012302104299507e-09
5,5,medarxiv_titles,medarxiv_titles,syntax,avg_words_per_sentence,words/sent.,14.987666175333448,15.94554823350808,-0.9963535266087634,-1.3116674141169515,-0.6810396391005754,2.944720810093508e-09
6,6,medarxiv_titles,medarxiv_titles,syntax,dependency_length,dep. length,2.480873428412566,2.5361970591079714,-0.9082953094313954,-1.2022704204198988,-0.6143201984428921,4.6569576433334525e-09
7,7,medarxiv_titles,medarxiv_titles,syntax,coordination_count,coord. count,0.6511228234336592,0.6909928483320985,-0.889168526760519,-1.187617685017148,-0.59071936850389,1.3095628982733921e-08
8,8,medarxiv_titles,medarxiv_titles,marker_words,word_across_per_1k_words,`across`,0.7167263377881978,1.147916792978948,0.8193505687261257,0.4992279408080835,1.1394731966441678,3.155637538453068e-06
9,11,medarxiv_titles,medarxiv_titles,readability,smog_index,SMOG,15.543290312909798,16.216685033235915,-0.75322308749925,-1.152945900157988,-0.3535002748405121,0.0015492182888303
10,12,medarxiv_titles,medarxiv_titles,punctuation,semicolon_per_1k_words,semicolon,0.3094103920820752,0.2169559360398399,-0.6797079758197809,-0.9624893510631072,-0.3969266005764549,3.694704390797608e-06
11,13,medarxiv_titles,medarxiv_titles,marker_words,word_insight_per_1k_words,`insight`,0.4705412402156293,1.009125594844592,0.6509803850235387,0.1823753300633892,1.1195854399836884,0.0194189041606846
12,15,medarxiv_titles,medarxiv_titles,syntax,sentence_depth_std,sent. depth $\sigma$,0.0521445485920956,0.0420598286894906,-0.594809424233124,-0.9140731063842252,-0.2755457420820224,0.0003722876829452
13,16,medarxiv_titles,medarxiv_titles,syntax,clause_depth_std,tree depth $\sigma$,0.0521445485920956,0.0420598286894906,-0.594809424233124,-0.9140731063842252,-0.2755457420820224,0.0003722876829452
14,17,medarxiv_titles,medarxiv_titles,other,certainty_ratio,certainty terms,0.0005499430353019,0.0005466559111052,0.5842035160614449,0.3344438563378084,0.8339631757850815,9.098738710884965e-06
15,18,medarxiv_titles,medarxiv_titles,syntax,dependency_entropy,dep. entropy,1.9985487078605757,2.0059855638223927,-0.556346014972416,-0.8494154571515391,-0.2632765727932928,0.0003722876829452
